grupo_etario,sexo,semana,semana_texto,casos_semanales,cambio_porcentual_semanal,casos_diarios_prom
50-69,Mujer,56,24 Jan - 30 Jan 21,73,-1.4,10.4
50-69,Mujer,57,31 Jan - 06 Feb 21,64,-12.3,9.1
50-69,Mujer,58,07 Feb - 13 Feb 21,83,29.7,11.9
50-69,Mujer,59,14 Feb - 20 Feb 21,75,-9.6,10.7
50-69,Mujer,60,21 Feb - 27 Feb 21,67,-10.7,9.6
50-69,Mujer,61,28 Feb - 06 Mar 21,72,7.5,10.3
50-69,Mujer,62,07 Mar - 13 Mar 21,81,12.5,11.6
50-69,Mujer,63,14 Mar - 20 Mar 21,91,12.3,13.0
50-69,Mujer,64,21 Mar - 27 Mar 21,111,22.0,15.9
50-69,Mujer,65,28 Mar - 31 Mar 21,61,-45.0,15.2
<30,Hombre,16,19 Apr - 25 Apr 20,1,-98.4,0.1
<30,Hombre,17,26 Apr - 02 May 20,2,100.0,0.3
<30,Hombre,18,03 May - 09 May 20,2,0.0,0.3
<30,Hombre,19,10 May - 16 May 20,1,-50.0,0.1
<30,Hombre,20,17 May - 23 May 20,6,500.0,0.9
<30,Hombre,21,24 May - 30 May 20,10,66.7,1.4
<30,Hombre,22,31 May - 06 Jun 20,7,-30.0,1.0
<30,Hombre,23,07 Jun - 13 Jun 20,9,28.6,1.3
<30,Hombre,24,14 Jun - 20 Jun 20,4,-55.6,0.6
<30,Hombre,25,21 Jun - 27 Jun 20,8,100.0,1.1
<30,Hombre,26,28 Jun - 04 Jul 20,6,-25.0,0.9
<30,Hombre,27,05 Jul - 11 Jul 20,3,-50.0,0.4
<30,Hombre,28,12 Jul - 18 Jul 20,4,33.3,0.6
<30,Hombre,29,19 Jul - 25 Jul 20,2,-50.0,0.3
<30,Hombre,30,26 Jul - 01 Aug 20,6,200.0,0.9
<30,Hombre,31,02 Aug - 08 Aug 20,4,-33.3,0.6
<30,Hombre,32,09 Aug - 15 Aug 20,4,0.0,0.6
<30,Hombre,33,16 Aug - 22 Aug 20,1,-75.0,0.1
<30,Hombre,34,23 Aug - 29 Aug 20,2,100.0,0.3
<30,Hombre,35,30 Aug - 05 Sep 20,1,-50.0,0.1
<30,Hombre,36,06 Sep - 12 Sep 20,3,200.0,0.4
<30,Hombre,37,13 Sep - 19 Sep 20,5,66.7,0.7
<30,Hombre,38,20 Sep - 26 Sep 20,1,-80.0,0.1
<30,Hombre,40,04 Oct - 10 Oct 20,1,0.0,0.1
<30,Hombre,41,11 Oct - 17 Oct 20,1,0.0,0.1
<30,Hombre,42,18 Oct - 24 Oct 20,1,0.0,0.1
<30,Hombre,43,25 Oct - 31 Oct 20,1,0.0,0.1
<30,Hombre,44,01 Nov - 07 Nov 20,4,300.0,0.6
<30,Hombre,45,08 Nov - 14 Nov 20,2,-50.0,0.3
<30,Hombre,48,29 Nov - 05 Dec 20,2,0.0,0.3
<30,Hombre,49,06 Dec - 12 Dec 20,2,0.0,0.3
<30,Hombre,50,13 Dec - 19 Dec 20,4,100.0,0.6
<30,Hombre,52,27 Dec - 02 Jan 21,2,-50.0,0.3
<30,Hombre,53,03 Jan - 09 Jan 21,4,100.0,0.6
<30,Hombre,54,10 Jan - 16 Jan 21,3,-25.0,0.4
<30,Hombre,55,17 Jan - 23 Jan 21,3,0.0,0.4
<30,Hombre,56,24 Jan - 30 Jan 21,4,33.3,0.6
<30,Hombre,57,31 Jan - 06 Feb 21,2,-50.0,0.3
<30,Hombre,58,07 Feb - 13 Feb 21,8,300.0,1.1
<30,Hombre,59,14 Feb - 20 Feb 21,3,-62.5,0.4
<30,Hombre,60,21 Feb - 27 Feb 21,3,0.0,0.4
<30,Hombre,61,28 Feb - 06 Mar 21,4,33.3,0.6
<30,Hombre,62,07 Mar - 13 Mar 21,4,0.0,0.6
<30,Hombre,63,14 Mar - 20 Mar 21,6,50.0,0.9
<30,Hombre,64,21 Mar - 27 Mar 21,5,-16.7,0.7
<30,Mujer,14,05 Apr - 11 Apr 20,1,-80.0,0.1
<30,Mujer,18,03 May - 09 May 20,2,100.0,0.3
<30,Mujer,19,10 May - 16 May 20,2,0.0,0.3
<30,Mujer,20,17 May - 23 May 20,4,100.0,0.6
<30,Mujer,21,24 May - 30 May 20,5,25.0,0.7
<30,Mujer,22,31 May - 06 Jun 20,6,20.0,0.9
<30,Mujer,23,07 Jun - 13 Jun 20,6,0.0,0.9
<30,Mujer,24,14 Jun - 20 Jun 20,5,-16.7,0.7
<30,Mujer,25,21 Jun - 27 Jun 20,4,-20.0,0.6
<30,Mujer,26,28 Jun - 04 Jul 20,1,-75.0,0.1
<30,Mujer,27,05 Jul - 11 Jul 20,6,500.0,0.9
<30,Mujer,28,12 Jul - 18 Jul 20,2,-66.7,0.3
<30,Mujer,29,19 Jul - 25 Jul 20,2,0.0,0.3
<30,Mujer,30,26 Jul - 01 Aug 20,1,-50.0,0.1
<30,Mujer,31,02 Aug - 08 Aug 20,3,200.0,0.4
<30,Mujer,33,16 Aug - 22 Aug 20,1,-66.7,0.1
<30,Mujer,34,23 Aug - 29 Aug 20,5,400.0,0.7
<30,Mujer,35,30 Aug - 05 Sep 20,3,-40.0,0.4
<30,Mujer,36,06 Sep - 12 Sep 20,1,-66.7,0.1
<30,Mujer,37,13 Sep - 19 Sep 20,1,0.0,0.1
<30,Mujer,39,27 Sep - 03 Oct 20,4,300.0,0.6
<30,Mujer,40,04 Oct - 10 Oct 20,3,-25.0,0.4
<30,Mujer,41,11 Oct - 17 Oct 20,2,-33.3,0.3
<30,Mujer,42,18 Oct - 24 Oct 20,2,0.0,0.3
<30,Mujer,43,25 Oct - 31 Oct 20,1,-50.0,0.1
<30,Mujer,44,01 Nov - 07 Nov 20,1,0.0,0.1
<30,Mujer,45,08 Nov - 14 Nov 20,3,200.0,0.4
<30,Mujer,46,15 Nov - 21 Nov 20,3,0.0,0.4
<30,Mujer,47,22 Nov - 28 Nov 20,2,-33.3,0.3
<30,Mujer,49,06 Dec - 12 Dec 20,1,-50.0,0.1
<30,Mujer,50,13 Dec - 19 Dec 20,1,0.0,0.1
<30,Mujer,51,20 Dec - 26 Dec 20,2,100.0,0.3
<30,Mujer,52,27 Dec - 02 Jan 21,1,-50.0,0.1
<30,Mujer,53,03 Jan - 09 Jan 21,4,300.0,0.6
<30,Mujer,54,10 Jan - 16 Jan 21,1,-75.0,0.1
<30,Mujer,55,17 Jan - 23 Jan 21,3,200.0,0.4
<30,Mujer,56,24 Jan - 30 Jan 21,1,-66.7,0.1
<30,Mujer,57,31 Jan - 06 Feb 21,4,300.0,0.6
<30,Mujer,58,07 Feb - 13 Feb 21,3,-25.0,0.4
<30,Mujer,59,14 Feb - 20 Feb 21,3,0.0,0.4
<30,Mujer,60,21 Feb - 27 Feb 21,2,-33.3,0.3
<30,Mujer,61,28 Feb - 06 Mar 21,4,100.0,0.6
<30,Mujer,62,07 Mar - 13 Mar 21,7,75.0,1.0
<30,Mujer,63,14 Mar - 20 Mar 21,3,-57.1,0.4
<30,Mujer,64,21 Mar - 27 Mar 21,5,66.7,0.7
<30,Mujer,65,28 Mar - 31 Mar 21,5,0.0,1.2
>=70,Hombre,11,16 Mar - 21 Mar 20,2,-60.0,0.3
>=70,Hombre,12,22 Mar - 28 Mar 20,6,200.0,0.9
>=70,Hombre,13,29 Mar - 04 Apr 20,19,216.7,2.7
>=70,Hombre,14,05 Apr - 11 Apr 20,37,94.7,5.3
>=70,Hombre,15,12 Apr - 18 Apr 20,34,-8.1,4.9
>=70,Hombre,16,19 Apr - 25 Apr 20,42,23.5,6.0
>=70,Hombre,17,26 Apr - 02 May 20,52,23.8,7.4
>=70,Hombre,18,03 May - 09 May 20,74,42.3,10.6
>=70,Hombre,19,10 May - 16 May 20,123,66.2,17.6
>=70,Hombre,20,17 May - 23 May 20,240,95.1,34.3
>=70,Hombre,21,24 May - 30 May 20,403,67.9,57.6
>=70,Hombre,22,31 May - 06 Jun 20,545,35.2,77.9
>=70,Hombre,23,07 Jun - 13 Jun 20,621,13.9,88.7
>=70,Hombre,24,14 Jun - 20 Jun 20,515,-17.1,73.6
>=70,Hombre,25,21 Jun - 27 Jun 20,422,-18.1,60.3
>=70,Hombre,26,28 Jun - 04 Jul 20,366,-13.3,52.3
>=70,Hombre,27,05 Jul - 11 Jul 20,335,-8.5,47.9
>=70,Hombre,28,12 Jul - 18 Jul 20,274,-18.2,39.1
>=70,Hombre,29,19 Jul - 25 Jul 20,225,-17.9,32.1
>=70,Hombre,30,26 Jul - 01 Aug 20,233,3.6,33.3
>=70,Hombre,31,02 Aug - 08 Aug 20,181,-22.3,25.9
>=70,Hombre,32,09 Aug - 15 Aug 20,147,-18.8,21.0
>=70,Hombre,33,16 Aug - 22 Aug 20,182,23.8,26.0
>=70,Hombre,34,23 Aug - 29 Aug 20,156,-14.3,22.3
>=70,Hombre,35,30 Aug - 05 Sep 20,159,1.9,22.7
>=70,Hombre,36,06 Sep - 12 Sep 20,182,14.5,26.0
>=70,Hombre,37,13 Sep - 19 Sep 20,145,-20.3,20.7
>=70,Hombre,38,20 Sep - 26 Sep 20,142,-2.1,20.3
>=70,Hombre,39,27 Sep - 03 Oct 20,137,-3.5,19.6
>=70,Hombre,40,04 Oct - 10 Oct 20,116,-15.3,16.6
>=70,Hombre,41,11 Oct - 17 Oct 20,130,12.1,18.6
>=70,Hombre,42,18 Oct - 24 Oct 20,107,-17.7,15.3
>=70,Hombre,43,25 Oct - 31 Oct 20,134,25.2,19.1
>=70,Hombre,44,01 Nov - 07 Nov 20,131,-2.2,18.7
>=70,Hombre,45,08 Nov - 14 Nov 20,115,-12.2,16.4
>=70,Hombre,46,15 Nov - 21 Nov 20,97,-15.7,13.9
>=70,Hombre,47,22 Nov - 28 Nov 20,113,16.5,16.1
>=70,Hombre,48,29 Nov - 05 Dec 20,118,4.4,16.9
>=70,Hombre,49,06 Dec - 12 Dec 20,115,-2.5,16.4
>=70,Hombre,50,13 Dec - 19 Dec 20,118,2.6,16.9
>=70,Hombre,51,20 Dec - 26 Dec 20,122,3.4,17.4
>=70,Hombre,52,27 Dec - 02 Jan 21,135,10.7,19.3
>=70,Hombre,53,03 Jan - 09 Jan 21,168,24.4,24.0
>=70,Hombre,54,10 Jan - 16 Jan 21,185,10.1,26.4
>=70,Hombre,55,17 Jan - 23 Jan 21,233,25.9,33.3
>=70,Hombre,56,24 Jan - 30 Jan 21,239,2.6,34.1
>=70,Hombre,57,31 Jan - 06 Feb 21,273,14.2,39.0
>=70,Hombre,58,07 Feb - 13 Feb 21,257,-5.9,36.7
>=70,Hombre,59,14 Feb - 20 Feb 21,245,-4.7,35.0
>=70,Hombre,60,21 Feb - 27 Feb 21,256,4.5,36.6
>=70,Hombre,61,28 Feb - 06 Mar 21,248,-3.1,35.4
>=70,Hombre,62,07 Mar - 13 Mar 21,285,14.9,40.7
>=70,Hombre,63,14 Mar - 20 Mar 21,277,-2.8,39.6
>=70,Hombre,64,21 Mar - 27 Mar 21,264,-4.7,37.7
>=70,Hombre,65,28 Mar - 31 Mar 21,114,-56.8,28.5
>=70,Mujer,11,16 Mar - 21 Mar 20,2,-98.2,0.3
>=70,Mujer,12,22 Mar - 28 Mar 20,7,250.0,1.0
>=70,Mujer,13,29 Mar - 04 Apr 20,21,200.0,3.0
>=70,Mujer,14,05 Apr - 11 Apr 20,28,33.3,4.0
>=70,Mujer,15,12 Apr - 18 Apr 20,24,-14.3,3.4
>=70,Mujer,16,19 Apr - 25 Apr 20,32,33.3,4.6
>=70,Mujer,17,26 Apr - 02 May 20,49,53.1,7.0
>=70,Mujer,18,03 May - 09 May 20,73,49.0,10.4
>=70,Mujer,19,10 May - 16 May 20,121,65.8,17.3
>=70,Mujer,20,17 May - 23 May 20,234,93.4,33.4
>=70,Mujer,21,24 May - 30 May 20,370,58.1,52.9
>=70,Mujer,22,31 May - 06 Jun 20,460,24.3,65.7
>=70,Mujer,23,07 Jun - 13 Jun 20,488,6.1,69.7
>=70,Mujer,24,14 Jun - 20 Jun 20,487,-0.2,69.6
>=70,Mujer,25,21 Jun - 27 Jun 20,395,-18.9,56.4
>=70,Mujer,26,28 Jun - 04 Jul 20,316,-20.0,45.1
>=70,Mujer,27,05 Jul - 11 Jul 20,243,-23.1,34.7
>=70,Mujer,28,12 Jul - 18 Jul 20,230,-5.3,32.9
>=70,Mujer,29,19 Jul - 25 Jul 20,216,-6.1,30.9
>=70,Mujer,30,26 Jul - 01 Aug 20,183,-15.3,26.1
>=70,Mujer,31,02 Aug - 08 Aug 20,165,-9.8,23.6
>=70,Mujer,32,09 Aug - 15 Aug 20,163,-1.2,23.3
>=70,Mujer,33,16 Aug - 22 Aug 20,167,2.5,23.9
>=70,Mujer,34,23 Aug - 29 Aug 20,161,-3.6,23.0
>=70,Mujer,35,30 Aug - 05 Sep 20,135,-16.1,19.3
>=70,Mujer,36,06 Sep - 12 Sep 20,134,-0.7,19.1
>=70,Mujer,37,13 Sep - 19 Sep 20,151,12.7,21.6
>=70,Mujer,38,20 Sep - 26 Sep 20,128,-15.2,18.3
>=70,Mujer,39,27 Sep - 03 Oct 20,150,17.2,21.4
>=70,Mujer,40,04 Oct - 10 Oct 20,136,-9.3,19.4
>=70,Mujer,41,11 Oct - 17 Oct 20,131,-3.7,18.7
>=70,Mujer,42,18 Oct - 24 Oct 20,131,0.0,18.7
>=70,Mujer,43,25 Oct - 31 Oct 20,111,-15.3,15.9
>=70,Mujer,44,01 Nov - 07 Nov 20,118,6.3,16.9
>=70,Mujer,45,08 Nov - 14 Nov 20,95,-19.5,13.6
>=70,Mujer,46,15 Nov - 21 Nov 20,96,1.1,13.7
>=70,Mujer,47,22 Nov - 28 Nov 20,102,6.2,14.6
>=70,Mujer,48,29 Nov - 05 Dec 20,92,-9.8,13.1
>=70,Mujer,49,06 Dec - 12 Dec 20,114,23.9,16.3
>=70,Mujer,50,13 Dec - 19 Dec 20,104,-8.8,14.9
>=70,Mujer,51,20 Dec - 26 Dec 20,131,26.0,18.7
>=70,Mujer,52,27 Dec - 02 Jan 21,103,-21.4,14.7
>=70,Mujer,53,03 Jan - 09 Jan 21,146,41.7,20.9
>=70,Mujer,54,10 Jan - 16 Jan 21,166,13.7,23.7
>=70,Mujer,55,17 Jan - 23 Jan 21,223,34.3,31.9
>=70,Mujer,56,24 Jan - 30 Jan 21,240,7.6,34.3
>=70,Mujer,57,31 Jan - 06 Feb 21,225,-6.2,32.1
>=70,Mujer,58,07 Feb - 13 Feb 21,227,0.9,32.4
>=70,Mujer,59,14 Feb - 20 Feb 21,215,-5.3,30.7
>=70,Mujer,60,21 Feb - 27 Feb 21,228,6.0,32.6
>=70,Mujer,61,28 Feb - 06 Mar 21,243,6.6,34.7
>=70,Mujer,62,07 Mar - 13 Mar 21,271,11.5,38.7
>=70,Mujer,63,14 Mar - 20 Mar 21,261,-3.7,37.3
>=70,Mujer,64,21 Mar - 27 Mar 21,240,-8.0,34.3
>=70,Mujer,65,28 Mar - 31 Mar 21,127,-47.1,31.8
